Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
5/17/2011 to 5/26/2011,Snakes; Crocodiles,Roissy Airport,"Paris, France",,,,460,,,,Unknown,,,Part of an operation from the OCLAESP; 9 people were arrested,http://www.rtl.fr/actu/societe-faits-divers/des-viandes-de-crocodiles-antilopes-elephants-saisis-a-roissy-7690069074,,,,,,,,,,,,,,,,,,,
2-Jun-11,Indian Star Tortoises,Shahjalal Airport,"Dhaka, Bangladesh",India,"Dhaka, Bangladesh",Malaysia,,480,,,Luggage,,,"A wildlife expert identified five species through photos of the seizure: Sylheti Roof Turtle (CITES II), Spotted Pond Turtle (likely same as Black Pond Turtle, CITES I), Bengal-eyed turtle (CITES I), Asian Leaf Turtle (CITES II), and Shila Turtle (Black Pond Turtles, CITES I).",http://www.thedailystar.net/news-detail-188349,,,,,,,,,,,,,,,,,,,
10-Jun-11,Indian Star Tortoises; Burmese Star Tortoises,Suvarnabhumi Airport,"Bangkok, Thailand","Dhaka, Bangladesh",Japan,"Bangkok, Thailand",,431,,,Luggage,,,"Indian and Burmese Star Tortoises (CITES II). Found in unclaimed bags. Loading tags suggested bags had originally come from Dhaka, Bangladesh before going to Japan via Bangkok, and then coming back to Bangkok to be collected. Four tortoises had died, they had been in the bags for about 10 days. Other sources say there were 400 turtles and other rare reptiles, including gavials (CITES I). Found in four suitcases on June 2, according to some sources. One source claims there were 35 star tortoises, and that the animals were found in suitcases at Suvarnabhumi Airport on the way to India.",TRAFFIC Bulletin 1997 - 2016; Omega 12; http://www.thedailystar.net/news-detail-188349,,,,,,,,,,,,,,,,,,,
1-Jul-11,Reticulated Pythons,,,Indonesia,,Netherlands,,170,,,Airfreight,,,Reticulated Pythons (CITES II),https://cites.org/sites/default/files/eng/com/sc/62/Inf/E62i-03.pdf,,,,,,,,,,,,,,,,,,,
12-Jul-11,Tortoises; Frogs; Bearded Dragons,Suvarnabhumi Airport,"Bangkok, Thailand",,,"Hong Kong, China",,19,SriLankan Airlines,,Luggage,X-ray,,"Two Radiated Tortoises (CITES I), four Indian Star Tortoises (CITES II), three Bearded Dragons, and 10 unidentified frogs on a Chinese national bound for Hong Kong",TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
17-Jul-11,Snakes,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,Iran,,50,Mahan Air,,Luggage,,Stuffed in socks,Various species purchased at Chauhak Market. Iranian national arrested was already suspected of involvement in an animal smuggling ring,http://www.bangkokpost.com/archive/Customs-prevent-snakes-on-a-plane-scenario/247392 ; https://seattle99.wordpress.com/2011/07/17/,,,,,,,,,,,,,,,,,,,
25-Jul-11,Radiated Tortoises; Spur Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Nairobi, Kenya",,196,Kenya Airways,,Luggage,X-ray,In cardboard packets in suitcases,"suspects were Indian and Malagasy, they were arrested; in Appendix I and II of CITES",http://www.afriquinfos.com/2011/07/26/brevesdafrique-183398.php,,,,,,,,,,,,,,,,,,,
16-Aug-11,Indian Star Tortoises,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Dhaka, Bangladesh",,,,589,,,Luggage,,,Indian Star Tortoises are CITES II. Found in two unclaimed luggage bags. Repatriated to India in Dec 2011.,TRAFFIC Bulletin 1997 - 2016; http://www.bernama.com.my/bernama/v8/newsindex.php?id=608814; Omega 12,,,,,,,,,,,,,,,,,,,
25-Aug-11,Snakes; Turtles,Miami Airport,"Miami, USA","Miami, USA",,Brazil,,10,,,Passenger - Clothing/Items,Wave Screener (not x-ray),,"Wrapped in nylon bags stuffed in man's pants. suspect was charged under the Laceey act. 7 snnakes, 3 turtles",http://miami.cbslocal.com/2011/08/29/tsa-no-snakes-on-this-plane/ ; http://www.cbsnews.com/news/tsa-man-arrested-in-miami-trying-to-smuggle-snakes-turtles-in-his-pants/,,,,,,,,,,,,,,,,,,,
26-Aug-11,Snakes; Turtles,Kuala Lumpur Airport,"Kuala Lumpur, Malaysia","Penang, Malaysia","Kuala Lumpur, Malaysia","Jakarta, Indonesia",,98,,,Luggage,,,"95 Boa constrictors, 2 rhinocerous vipers, 1 mata-mata turtle. Anson Wong Keng Liang was sentenced.",http://www.traffic.org/home/2010/9/6/international-wildlife-trafficker-sentenced-to-6-months-in-m.htm l; http://www.thestar.com.my/news/nation/2012/02/22/wildlife-trader-anson-wong-freed-after-court-reduces-jail-term/,,,,,,,,,,,,,,,,,,,
