Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Flight Number,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,Photo 3,,,,,,,,,,,,,,,,
8-Jan-15,Monitor Lizards,Julius Nyerere Airport,"Dar es Salaam, Tanzania","Dar es Salaam, Tanzania",,,,149,,,Luggage,,,Monitor Lizards (CITES I/II) ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
17-Jan-15,Pig-Nosed Turtles,Soekarno Hatta Airport,"Jakarta, Indonesia","Jakarta, Indonesia",Singapore,"Shanghai, China",,2350,Singapore Airlines,,Airfreight,,,Pig-nosed Turtles (CITES I) were discovered inside 10 containers labelled as mangrove crabs.,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2015/1/23/more-than-2300-turtles-seized-at-jakarta-international-airpo.html,,,,,,,,,,,,,,,,,,,
22-Jan-15,Pig-Nosed Turtles,Ngurah Rai Airport,"Denpasar, Indonesia","Timika, Indonesia","Denpasar, Indonesia",,,5284,,,Luggage,,,Pig-nosed Turtles (CITES I) were found in boxes and luggage. Three people were detained.,TRAFFIC Bulletin 1997 - 2016; http://www.traffic.org/home/2015/1/23/more-than-2300-turtles-seized-at-jakarta-international-airpo.html,,,,,,,,,,,,,,,,,,,
1-Feb-15,Turqouise Dwarf Geckos,Heathrow Airport,"London, United Kingdom",,,"London, United Kingdom",,165,,,Unknown,,,,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
6-Feb-15,Reptiles,Perth Airport,"Perth, Australia","Perth, Australia",,,,157,,,Luggage,,,"The animals were concealed in Various manner including hollowed out books and cigarette packets. Among the lizards were skinks, geckos, frogs and pygmy pythons. 33 of the reptiles were dead when they were intercepted. Two Russian citizes and two Czech citizens were arrested, and two of the men were allegedly carrying reptiles in their luggage at the time of their arrest.",TRAFFIC Bulletin 1997 - 2016; http://newsroom.border.gov.au/releases/traffickers-attempt-to-export-hundreds-of-reptiles-from-wa,,,,,,,,,,,,,,,,,,,
11-Feb-15,Geckos,Zavantem Airport,"Brussels, Belgium",,,,,18,,,Unknown,,,"The geckos were found with 20 butterflies, and sticks partially made of pangolin scales with falsified CITES documents. The species came from Tanzania, thailand and india.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
20-Feb-15,Pig-Nosed Turtles; snakes; geckos,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,Japan,,144,,,Luggage,,,Pig-nosed Turtles (CITES II). Two arrests.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
1-Mar-15,Snakes ; beetles; lizards; frogs,Kuwait Airport,"Kuwait City, Kuwait",,,,,,,,Luggage,,,2 Kuwaitis arrested after importing species from Europe,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf,,,,,,,,,,,,,,,,,,,
24-Mar-15,Black Pond Turtles,Tiruchirappalli Airport,"Tiruchirappalli, India","Tiruchirappalli, India","Kuala Lumpur, Malaysia","Bangkok, Thailand",,492,Malindo Air,,Luggage,Scanner,Concealed in Various pieces of cloth and kept in five stroller bags,"492 Black pond turtles (CITES I) were being carried by 5 passengers who were caught and arrested at the gate by officers of the Directorate of Revenue Intelligence (DRI) and Customs Air Intelligence Unit (AIU). The turtles had been hidden in ""Various pieces of cloth"" and were stored in five stroller bags that were being carried by the suspects (Ahmed Kabir, 46, Ahmed Badhusha Marika, 40, Mohammad Salim, 28, Sayed Ahmed, 58, and Mohammed Iqbal, 42). The suspects' cell phones and passports were also seized. The accused admitted that they had received the turtles in Tiruchi and were transporting them for Rs. 10,000 each. ",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_8.pdf; http://timesofindia.indiatimes.com/city/trichy/492-tortoises-seized-at-Trichy-airport-5-arrested/articleshow/46682975.cms; http://www.thehindu.com/news/cities/Tiruchirapalli/492-live-terrapins-seized-at-tiruchi-airport/article7030051.ece,,,,,,,,,,,,,,,,,,,
24-Mar-15,Black Pond Turtles,Hazrat Shahjalal Airport,"Dhaka, Bangladesh",,,India,,113,,,Unknown,Tip-off,Four bags,"A joint team of WCCU, Customs, and Armed Police Battalion (APBn) seized 113 tortoises from two Indian nationals after conducting a raid near Gate No. 6 around 10 pm. The tortoises were found in four bags.",http://www.thedailystar.net/city/113-tortoises-rescued-dhaka-airport-73520 ; Omega 12,,,,,,,,,,,,,,,,,,,
25-Mar-15,Turquoise Dwarf Geckos; Bearded Pygmy Chameleons; Peacock Tree Frogs; Whip Scorpions; Yellow Headed Geckos,Heathrow Airport,"London, United Kingdom",Tanzania,,"London, United Kingdom",,671,,,Airfreight,,,One arrest was made in connection with the shipment.,TRAFFIC Bulletin 1997 - 2016; https://www.gov.uk/government/news/endangered-geckos-seized-by-border-force-at-heathrow,,,,,,,,,,,,,,,,,,,
1-Apr-15,Asian Brown Pond Turtles; Japanese Pond Turtles,Chubu Airport,"Nagoya, Japan","Nagoya, Japan",,,,500,,,Luggage,,,"Japanese pond turtles (CITES II) and Asian brown pond turtles were wrapped in socks, belly to belly. ",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
1-Apr-15,Crocodiles,Yantai Airport,"Yantai, China",,,,,86,,,Unknown,,,Crocodiles (CITES I/II),http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
1-Apr-15,Nile Crocodiles,Dusseldorf Airport,"Dusseldorf, Germany",Mauritius,"St. Petersburg, Russia","Dusseldorf, Germany",,1,,,Luggage,,,Nile crocodile (CITES I/II). One arrest. The skin was intended for the suspect's mother.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
1-Apr-15,Reptiles,Domodedovo Airport,"Moscow, Russia","Jakarta, Indonesia",Qatar,"Moscow, Russia",,108,,,Luggage,,,"55 snakes,
2 baby crocodiles (CITES I/II),
35 lizards, 7 turtles, also found: 6 lemurs, 2 apes, one leopard cub. One arrest. All animals survived the trip except the baby crocodiles. The animals were packed in mini-cages, plastic boxes and bags.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
4-Apr-15,Radiated Tortoises; spider tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,Taiwan,,11,,,Luggage,,,"9 Radiated Tortoises (CITES I), 2 Spider tortoises (CITES I), were found in the luggage of a Taiwanese couple disguised with charging wires. They bribed a local wildlife guide to steal the animals from a local breeding and rehabilitation center.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
10-Apr-15,Black Pond Turtles,Chatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Kuala Lumpur, Malaysia",,183,,,Luggage,,,"183 turtles (45 Spotted Black Terrapins - Black Pond Turtles, CITES I) were found by Customs wrapped in tape and packaged in two suitcases. Two suspects, Saiyed Ibrahim Sickender and Sahajan Naina Mohammad, were trying to smuggle the turtles to Kuala Lumpur in their check-in luggage. At least two of the turtles later died.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf ; http://www.hindustantimes.com/mumbai/mumbai-airport-Customs-rescue-183-turtles-being-smuggled-to-malaysia/article1-1336773.aspx,,,,,,,,,,,,,,,,,,,
21-Apr-15,Black Pond Turtles,Allama Iqbal Airport,"Lahore, Pakistan","Lahore, Pakistan",,"Bangkok, Thailand",,504,,,Luggage,,,"504 Black Pond Turtles (CITES I) seized by the Punjab Wildlife Department on their way to Bangkok and two suspects arrested. The suspects had come from Karachi, and had been told they were carrying seafood items. The suspects were fined Rs. 300,000.",http://tribune.com.pk/story/873757/wildlife-smuggling-504-turtles-seized-from-bangkok-bound-smugglers/ ; http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf ; http://tribune.com.pk/story/875467/poached-and-rescued-504-turtles-released-at-head-balloki/,,,,,,,,,,,,,,,,,,,
24-Apr-15,Black Pond Turtles,Cochin Airport,"Kerala, India","Kerala, India",,"Kuala Lumpur, Malaysia",,29,,,Luggage,,,The Customs department at Cochin Airport in Kerala seized 29 Black Pond Turtles (CITES I) from Mohammad Beeran (52). Beeran was on his way to Kuala Lumpur. The turtles were found in his check-in baggage and had been sedated. Beeran claimed he was innocent and had been tricked into smuggling the turtles.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf; Omega 12; http://www.business-standard.com/video-gallery/general/tortoises-and-peacock-feathers-seized-by-Customs-in-kerala-19880.htm,,,,,,,,,,,,,,,,,,,
26-Apr-15,Black Pond Turtles,Chatrapati Shivaji Airport,"Mumbai, India","Mumbai, India",,"Kuala Lumpur, Malaysia",,161,,,Luggage,,Cardboard boxes,"161 Black Pond Turtles (CITES I) were discovered in two cardboard cartons destined for Kuala Lumpur, Malaysia. Two men (Thimmarayappa Jnanamurthy and Ramaswamy Shanmugan) were arrested. They were attempting to smuggle the turtles in their check-in luggage.",http://www.hindustantimes.com/mumbai/second-seizure-Customs-finds-161-turtles-at-mumbai-airport/story-AlOv7bmtDeO1XvLD8f5k1K.html,,,,,,,,,,,,,,,,,,,
25-Apr-15,Indian Star Tortoises,,,,,Bangladesh,,21,,,Unknown,,,,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
25-May-15,Asian Brown Pond Turtles; Japanese Pond Turtles,Chubu Airport,"Nagoya, Japan","Nagoya, Japan",,,,400,,,Luggage,,,Asian Brown Pond Turtles (CITES II). Japanese Pond Turtles (CITES II) Turtles were bundled belly to belly and stuffed in socks. Two arrests,TRAFFIC Bulletin 1997 - 2016; https://exposingthebiggame.wordpress.com/2015/05/page/3/,,,,,,,,,,,,,,,,,,,
29-May-15,Black Pond Turtles,Shahjalal Airport,"Dhaka, Bangladesh",,,"Kuala Lumpur, Malaysia",,130,Malaysia Airlines,,Luggage,Tip-off,Wrapped in cloth and plastic in a suitcase(s),130 Black Pond Turtles (CITES I) were seized by the Customs Intelligence Department on a tip off. Turtles became the property of the Bangladesh Forest Department and were taken to Bangabandhu Safari Park in Gazipur. No arrests.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf ; http://www.thedailystar.net/country/130-turtles-seized-dhaka-airport-89407,,,,,,,,,,,,,,,,,,,
1-Jun-15,Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Nairobi, Kenya; Khartoum, Sudan ",China,,453,Kenya Airways,,Luggage,,,Radiated Tortoises (CITES I) were found in the luggage of an Egyptian passenger. ,,,,,,,,,,,,,,,,,,,,
1-Jun-15,Russell's Vipers; Chochin Forest Cane Turtles; Chameleons,Cochin Airport,"Kerala, India","Kerala, India",,,,,,,Unknown,,,Cochin Forest Cane Turtle (CITES II). Two Japanese suspects arrested. Theyboth worked in a Japanese supermarket and took footage that they intended to sell to japanese TV networks,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf,,,,,,,,,,,,,,,,,,,
20-Jun-15,Turtles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Nairobi, Kenya","Khartoum, Sudan",,403,,,Luggage,,Wrapped in cloth bags placed in 8 suitcases,The Egyptian national had arrived in Antananarivo 48 hours earlier; suspicions were aroused by the short duration of the stay; the police think the suspect hoped to get easily out of Malagasy territory during the strike of the Air Madagascar employees which was disrupting the operation of the airport,http://www.sciencesetavenir.fr/animaux/20150622.OBS1253/saisie-record-de-tortues-a-madagascar.html,,,,,,,,,,,,,,,,,,,
28-Jun-15,Black Pond Turtles,Bengaluru Airport,"Bangalore, India","Bangalore, India","Kuala Lumpur, Malaysia","Phuket, Thailand",,72,Malaysia Airlines,,Luggage,Scanner,Covered in cardboard and pillow covers in two suitcases,"Black pond turtles (CITES I) in two black suitcases. Central Industrial Security Forces (CISF) officials noticed movement in the suitcase through the scanner. The officials opened the suitcases and found the turtles covered in cardboard and pillow covers, with their legs taped together. The Two suspects (Haroon Rashid and Mohammed Ali, alias Imran Khan) caught. They claimed that their contact in Chennai had asked them to take the turtles to someone in Phuket, Thailand. They had been given Rs. 10,000 and free tickets to hand over the bags. Due to increased surveillance at Chennai Airport, traffickers left from Bangalore. The turtles had traveled from Calcutta to Chennai via boat. An investigation was begun to find the duo's contact in Chennai.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf ; http://www.thehindu.com/news/cities/bangalore/terrapin-smuggling-racket-busted-two-held/article7368630.ece ; http://www.deccanchronicle.com/150630/nation-crime/article/72-spotted-black-terrapins-stuffed-2-suitcases-seized-kia,,,,,,,,,,,,,,,,,,,
28-Jun-15,Black Pond Turtles,Chennai Airport,"Chennai, India","Chennai, India",,"Kuala Lumpur, Malaysia",,54,Malaysia Airlines,,Luggage,Scanner,,"54 Indian Star Tortoises (CITES II) from Malaysia-bound passenger. Customs officials saw movement in the baggage scan, opened the bags and found the turtles. The suspect (Mohammad Ali, 45) said he was staying in a hotel in Chennai, and had been approached by two people at the airport to deliver the bag containing the turtles to a contact in Kuala Lumpur for Rs. 3000.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_9.pdf ; http://www.dinakaran.com/News_Detail.asp?Nid=153139,,,,,,,,,,,,,,,,,,,
1-Jul-15,Mangrove Monitor Lizards,Francisco Bangoy Airport,"Davao, Phillippines","Davao, Phillippines",,"Caloocan, Phillippines",,2,,,Airfreight,,,Mangrove Monitor Lizards (CITES II). The lizards were recoverd alive.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
2-Jul-15,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Kuala Lumpur, Malaysia",,64,Malaysia Airlines,,Luggage,,,60 or 64 Indian Star Tortoises (CITES II). Naina Mohammed Yasin was arrested by Customs officials. ,TRAFFIC Bulletin 1997 - 2016; http://www.business-standard.com/article/pti-stories/64-star-tortoises-seized-man-detained-at-airport-115070200851_1.html,,,,,,,,,,,,,,,,,,,
3-Jul-15,Sea Turtles,Bandaranaike Airport,"Colombo, Sri Lanka","Colombo, Sri Lanka",,Malaysia,,125,,,Unknown,,,One arrest,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
5-Jul-15,Black Pond Turtles,Shahjahal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,,,400,,,Airfreight,,,"Black pond turtles (CITES I). The shipping company was Mamun International. A company under the same name is based in Nagpur, Maharashtra which specializes in manufacturing plastic products. The turtles were packed into 53 plastic containers. One arrest.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
8-Jul-15,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Kuala Lumpur, Malaysia",,41,Malaysia Airlines,,Luggage,Scanner,,"41 Indian Star Tortoises (CITES II). A CISF official noticed small objects moving within the luggage of Saddam Hussain (25). The official alerted Customs officers, who found 41 tortoises inside. This seizure prompted the Forest Department to begin investigating all the cases of turtle trafficking from Chennai to Kuala Lumpur to see if they were linked. From the article on the seizure: ""There are usually 10-12 seizures every year where protected animals are found in passengers’ bags, satchels and even belts which are then handed over to the forest department, with the majority of  the seizures being star tortoises, followed by sea-horses....SMUGGLING ROUTE: The major smuggling points for star tortoises are from Bengal, Odisha, Andhra Pradesh and coastal Tamil Nadu
LOADED LUGGAGE: Star tortoises can be kept in confined places like suitcases and taken for long journeys without any harm done to them for up to 4-6 hours""",TRAFFIC Bulletin 1997 - 2016 ; http://www.newindianexpress.com/cities/chennai/Tortoises-Seized-Again-at-Airport/2015/07/09/article2910207.ece,,,,,,,,,,,,,,,,,,,
9-Jul-15,Black Pond Turtles,Changi Airport,Singapore,Bangladesh,Singapore,"Surabaya, Indonesia",,206,,,Luggage,,,Black Pond Turtles (CITES I) 27 of the turtles died after being found. 2 Russian nationals were arrested and sentenced.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
9-Jul-15,Indian Star Tortoises,Chennai Airport,"Chennai, India",,,"Kuala Lumpur, Malaysia",,100,,,Luggage,Scanner,,100 or 130 Indian Star Tortoises (CITES II) and two people (Suleiman Mohammad and Leila Banu) were arrested. Officials found the tortoises in their luggage during the baggage scan.,http://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/star-tortoises-seized-at-airport/article7405649.ece ; http://www.deccanchronicle.com/150710/nation-crime/article/star-tortoise-smuggling-goes,,,,,,,,,,,,,,,,,,,
12-Jul-15,Black Pond Turtles,Shahjahal Airport,"Dhaka, Bangladesh","Dhaka, Bangladesh",,Vietnam,,557,,,Luggage,,,Black Pond turtles (CITES I) were packed into 5 bags. The bag carriers fled.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
25-Jul-15,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,Malaysia,,50,,,Luggage,,,Indian Star Tortoises (CITES II),TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
1-Aug-15,Black Pond Turtles,Chennai Airport,"Chennai, India","Chennai, India",,"Kuala Lumpur, Malaysia",,138,,,Unknown,,,Black pond turtles (CITES I) One arrest of an Indian street vendor.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
1-Aug-15,Indian Star Tortoises,Cochin Airport,"Kerala, India","Kerala, India",,Malaysia,,199,,,Unknown,,,Indian Star Tortoises (CITES II). One arrest,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
1-Aug-15,Indian Star Tortoises; Black Pond Turtles,Bengaluru Airport,"Bangalore, India","Bangalore, India",,Malaysia,,79,Malaysian Airlines,,Unknown,,,"Indian Star Tortoises (CITES II), Black Pond Turtles (CITES I). Two arrests, both smugglers were from Chennai, India. Their tickets were paid for by the 'network head' and were to recieve $150 bonuses.",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
4-Aug-15,Radiated Tortoises,Guangzhou Airport,"Guangzhou, China",Madagascar,,"Guangzhou, China",,298,,,Luggage,,,Radiated Tortoises (CITES I). Two arrests. An airport employee reprotedly assisted the pair in clearing Customs.,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
9-Aug-15,Indian Star Tortoises; spotted black terrapins,Bengaluru Airport,"Bangalore, India","Bangalore, India",India,Malaysia,,79,Malaysian Airlines,,Luggage,,,"Indian Star Tortoises (CITES II) Spotted Black Terrapins (CITES I) Two arrests. The animals had been taped to restrict movement. They had traveled from Chennai and were bound for Kuala Lumpur. Apparently, the duo had been enticed by an offer of payment and a free flight to Malaysia in exchange for carrying the luggage.",TRAFFIC Bulletin 1997 - 2016; http://www.bangaloremirror.com/bangalore/crime/2-held-for-attempt-to-smuggle-protected-wildlife-from-India/articleshow/48473927.cms,,,,,,,,,,,,,,,,,,,
10-Aug-15,Indian Star Tortoises,Cochin Airport,"Kerala, India","Kerala, India",,,,199,,,Unknown,,,Indian Star Tortoises (CITES II). One arrest,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf; TRAFFIC Bulletin,,,,,,,,,,,,,,,,,,,
14-Aug-15,Reticulated Python Gall Bladders,Xiamen Airport,"Xiamen, China","Xiamen, China",,,,182,,,Luggage,X-ray,,Reticulated Python (CITES II) One arrest of a Chinese national,TRAFFIC Bulletin 1997 - 2016,,,,,,,,,,,,,,,,,,,
25-Aug-15,Stuffed Crocodile,Qingdao Liutung Airport,"Qingdao, China",,,"Qingdao, China",,1,,,Unknown,,,Crocodile (CITES I/II),http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
1-Sep-15,Indian Star Tortoises,Chennai Airport,"Chennai, India",,,,,276,,,Unknown,,,Indian Star Tortoises (CITES II) One arrest.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
8-Sep-15,Black Spotted Turtles,Allama Iqbal Airport,"Lahore, Pakistan","Lahore, Pakistan",,"Thailand, Bangkok",,120,,,Unknown,,Hidden in baby diapers,Black spotted Turtles (CITES I) were discovered being smuggled by a Pakistani man with previous wildlife smuggling charges.,http://www.dailytimes.com.pk/national/08-Sep-2015/Customs-officials-foil-smuggling-bid-recover-120-rare-turtles; http://www.pakistantoday.com.pk/2015/09/08/national/customs-officials-foil-smuggling-bid-recover-120-rare-turtles-at-lahore-airport/,,,,,,,,,,,,,,,,,,,
28-Sep-15,Ploughshare Tortoises; Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",Mauritius,"Kuala Lumpur, Malaysia",,771,,,Airfreight,,Hidden in socks/stockings in diapers in two wood crates,"8 Ploughshare Tortoises (CITES I), 763 Radiated Tortoises (CITES I). 20 Radiated tortoises died afterwards. The turtles were hidden in socks/stockings in diapers and undeclared in two wooden crates bound for Kuala Lumpur.",TRAFFIC Bulletin 1997 - 2016 ; http://www.elcomercio.com/tendencias/incautacion-madagascar-crias-tortugas-traficodeespecies.html,,,,,,,,,,,,,,,,,,,
29-Sep-15,Indian Star Tortoises,Madurai Airport,"Madurai, India","Madurai, India",Sri Lanka,Malaysia,,247,,,Luggage,,,Indian Star tortoises (CITES II). One arrest. The suspect had already been implicated in ketamine smuggling.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_10.pdf,,,,,,,,,,,,,,,,,,,
8-Oct-15,Black Pond Turtles,Hong Kong Airport,"Hong Kong, China","New Delhi, India",,"Hong Kong, China",,23,,,Unknown,,,Black Pond turtles (CITES I),http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
8-Oct-15,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India","Kuala Lumpur, Malaysia","Jakarta, Indonesia",,200,,,Luggage,,,Indian star tortoises (CITES II). Two arrests. The organizer of the smuggling attemped was identified as Dinesh Jothimani. This was the fourth seizure where the smugglers named him as the organizers.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
8-Oct-15,Indian Star Tortoises,Chennai Airport,"Chennai, India","Chennai, India",,"Kuala Lumpur, Malaysia",,119,Malaysian Airlines,,Passenger - Clothing/Items,,,Indian Star Tortoises (CITES II). One arrest,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
11-Oct-15,Earless Monitor Lizards,Soekarno Hatta Airport,"Jakarta, Indonesia",,,,,8,,,Unknown,,,Earless Monitor Lizards (Unlisted but likely will qualify for CITES I). German citizen involved ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
15-Oct-15,Green Iguanas,Tijuana Airport,"Tijuana, Mexico","Guadalajara, Mexico",,"Tijuana, Mexico",,53,,,Airfreight,,,Green Iguanas (CITES II). ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
23-Oct-15,Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Guangzhou, China",,419,,,Luggage,,socks; sanitary napkins,Radiated Tortoises (CITES I) were wrapped in baby diapers and in socks to absorb excrement and prevent movement. A chinese citizen was carrying the suitcases. 25 turtles died,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
16-Nov-15,Radiated Tortoises,Julius Nyrere Airport,"Dar es Salaam, Tanazania","Dar es Salaam, Tanazania","Dubai, UAE",Malaysia,,201,,,Luggage,,,Radiated tortoises (CITES I) were grouped in by 3's and 6's in socks with sanitary napkins. Arrest of 2 tanzanians.,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
19-Nov-15,Black Pond Turtles; South Asian Box Turtles; pig-nosed Turtles; Asian Leaf Turtles; Red-Bellied Short-Necked Turtle,Shanghai Pudong Airport,"Shanghai, China",Indonesia,,"Shanghai, China",,2535,,,Airfreight,,,"Black Pond Turtles (CITES I), South Asian Box Turtles (CITES II), Asian Leaf Turtles(CITES II), Pig-nosed turtles (CITES II). The turtles arrived in a shipment labeled as crabs",TRAFFIC Bulletin 1997 - 2016; http://legal.people.com.cn/n1/2016/0131/c42510-28099137.html,,,,,,,,,,,,,,,,,,,
25-Dec-15,Radiated Tortoises,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar",,"Bangkok, Thailand",,547,,,Luggage,,,Radiated Tortoises (CITES I) were packed into 4 suitcases. Only 7 died in transit. 1 Arrest of a chinese national. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_11.pdf,,,,,,,,,,,,,,,,,,,
1-Feb-16,Black Spotted Turtles,Allama Iqbal Airport,"Lahore, Pakistan",,,,,144,,,Airfreight,,,Black Spotted Turtles (CITES I) were found sedated in a crockery consignment in early 2016,http://islamabadscene.com/workshop-on-iillegal-wildlife-trade-held-in-islamabad/,,,,,,,,,,,,,,,,,,,
19-Jan-16,Red-Eared Slider Turtles,Suvarnabhumi Airport,"Bangkok, Thailand","Guangzhou, China","Bangkok, Thailand","Chennai, India",,2800,,,Luggage,,,Indian traveler was carrying the turtles,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf,,,,,,,,,,,,,,,,,,,
28-Jan-16,African Bullfrogs; rain frogs,O. R. Tambo Airport,"Johannesburg, South Africa","Johannesburg, South Africa",Vietnam,China,,230,,,Unknown,Lack of paperwork,Plastic Boxes,Ten of the animals were dead. ,http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf; http://www.sapeople.com/2016/01/29/frogs-bound-for-china-confiscated-at-joburg-airport/,,,,,,,,,,,,,,,,,,,
29-Jan-16,Monitor Lizards; sailfin lizards; rat snakes; water snakes,Ninoy Aquino Airport,"Manila, Phillippines","Manila, Phillippines",,Japan,,30,,,Airfreight,intelligence,Labeled as aquatic plants,"11 monitor lizards (CITES II), 8 sailfin lizards, 6 water snakes, 5 rat snakes. One airport employee was arrested. The shipment also included Tarsiers, Scoop owls and Eagle owls",http://www.robindesbois.org/wp-content/uploads/ON_THE_TRAIL_12.pdf; http://www.lefigaro.fr/flash-actu/2016/01/31/97001-20160131FILWWW00027-le-policier-tentait-de-passer-des-varans-en-contrebande.php,,,,,,,,,,,,,,,,,,,
31-Jan-16,Turtles,Shanghai Pudong Airport,"Shanghai, China",Indonesia,,,,2000,,,Airfreight,,In a box that was supposed to contain crab from Indonesia,Animals endangered; unclear if for pet or medicinal purposes,http://www.rtl.be/info/magazine/animaux/plus-de-2000-tortues-trouvees-dans-une-boite-a-l-aeroport-de-shanghai-video--790850.aspx,,,,,,,,,,,,,,,,,,,
