Date ,Species ,Location ,"City, Country",Origin,Transit,Destination,Weight (kg) ,Number,Airline ,Mode of Transport,Method of Detection,Obfuscation Method,Notes ,Source,Photo 1,Photo 2,,,,,,,,,,,,,,,,,,
2/11/2011,Grey Parrots,Suvarnabhumi Airport,"Bangkok, Thailand","Bangkok, Thailand",,,,,,Luggage,X-ray,,"Suspect aged 34 was about to bard the plane; also found 88 Indian star turtles, 33 yellow-headed turtle and ploughshare tortoise (very rare protected species), 2 boa constrictors, 34 pythons, 18 tarantulas, squirrels, several species of lizards and a Gray Gabon parrot; majority of the reptiles were neclosed in plastic boxes and others were founded in different compartments in suitcases; value estimated at 18,000 euros",http://www.maxisciences.com/trafic/des-centaines-d-039-animaux-rares-saisis-en-thailande_art12504.html,,,,,,,,,,,,,,,,,,,,
4/??/2011,Black Billed Amazon eggs; Yellow Billed Amazon Eggs,Vienna Airport,"Vienna, Austria",Jamaica,"Vienna, Austria",Slovakia,,74,,Luggage,,,"Little known about the seizure; the article states that they were the green amazon and amazon of Jamaica, both endangered and extremely rare in captivity; of the 74 eggs, 45 birds were raised",http://actuzoo.forumactif.com/t7761-tiergarten-schonbrunn-des-bebes-perroquets-issus-de-la-contrebande ; https://cites.org/sites/default/files/eng/com/sc/62/Inf/E62i-03.pdf,,,,,,,,,,,,,,,,,,,,
4/17/2011,Saffron Finches,Gilberto Freyre Airport,"Recife, Brazil","Brasilia, Brazil",,"Recife, Brazil",,179,,Unknown,,,The birds were transported in small cages and in bad shape but survived.,http://www.ibama.gov.br/publicadas/animais-silvestres-sao-apreendidos-no-aeroporto-internacional-dos-guararapes,,,,,,,,,,,,,,,,,,,,
6/??/2011,Grey Parrots,Dubai Airport,"Dubai, UAE",Jordan,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
6/24/2011,Saffron Finches; Great-billed Seed Finches; Hooded Siskins; Nightengales; ,Eduardo Gomes(Maunaus),"Manaus, Brazil",Venezuela,"Boa Vista, Brazil; Sao Paulo, Brazil","Manaus, Brazil",,270,,Luggage,,,The birds were transported in cages. Two Suspects.One arrest.The luggage was exchanged Sao Paulo from the first suspect to the second. ,https://blogmarcelolira.blogspot.com/2011/06/ibama-pode-sacrificar-passaros-absurdo.html,,,,,,,,,,,,,,,,,,,,
8/??/2011,Galahs,Dubai Airport,"Dubai, UAE",Belgium,,"Dubai, UAE",,2,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
8/??/2011,Java Sparrows,Dubai Airport,"Dubai, UAE",Belgium,,"Dubai, UAE",,35,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
8/22/2011,Canaries; Lesser Goldfinches;  Goldfinches,Pinto Martins Airport,"Fortaleza, Brazil","Manaus, Brazil",,"Fortaleza, Brazil",,221,,Luggage,,,10 birds were dead upon discovery. Some of the birds may have originated in Colombia. Suspect was fined.,http://diariodonordeste.verdesmares.com.br/cadernos/policia/online/passaros-apreendidos-no-aeroporto-pinto-martins-podem-custar-preco-de-um-veiculo-diz-ibama-1.894841,,,,,,,,,,,,,,,,,,,,
8/24/2011,Birds,Los Angeles Airport,"Los Angeles, USA","Los Angeles, USA",,"Guangzhou, China",,2,China Southern Airlines,Passenger Clothing/Items,,,One arrest. Birds were wrapped in socks and taped to the passenger's arm and leg. ,http://latimesblogs.latimes.com/lanow/2011/08/bird-smuggling.html,http://latimesblogs.latimes.com/.a/6a00d8341c630a53ef014e8b102ed5970d-600wi,,,,,,,,,,,,,,,,,,,
9/??/2011,Finches,Cheddi Jagan Airport,"Georgetown, Guyana","Georgetown, Guyana",,,,35,,Unknown,,,,https://assets.documentcloud.org/documents/2192261/operation-g-bird.pdf,,,,,,,,,,,,,,,,,,,,
9/28/2011,Saffron Finches,Brasilia Airport,"Brasilia, Brazil","Brasilia, Brazil",,,,300,,Unknown,,,The finches were discovered after an anonymous tip. Three arrests,http://g1.globo.com/bom-dia-brasil/noticia/2011/09/centenas-de-passaros-silvestres-sao-apreendidos-no-aeroporto-de-brasilia.html,,,,,,,,,,,,,,,,,,,,
10/2/2011,Hummingbirds,Cayenne Airport,"Cayenne, French Guiana","Cayenne, French Guiana",,,,12,,Passenger Clothing/Items,,,One arrest.The birds were wrapped in cloth and then placed in pouches around the man's groin. The passenger was dutch and previously had been convicted for attempted hummingbird smuggling.,http://gadling.com/2011/10/02/man-detained-in-cayenne-french-guiana-airport-for-having-hummin/,,,,,,,,,,,,,,,,,,,,
11/??/2011,Falcons,Dubai Airport,"Dubai, UAE",,,"Dubai, UAE",,1,,Unknown,,,,https://cites.org/sites/default/files/reports/11-12UnitedArabEmirates.pdf,,,,,,,,,,,,,,,,,,,,
11/21/2011,Saker Falcons,Manas Airport,"Bishkek, Kyrgyzstan","Bishkek, Kyrgyzstan",,"Dubai, UAE",,4,,Luggage,X-ray,,Saker Falcons (CITES II). One arrest of an Iraqi citizen.,http://www.thenational.ae/news/uae-news/falcon-smuggler-arrested-at-airport,,,,,,,,,,,,,,,,,,,,
